State,State Abbreviation,"Car, truck or van drove alone %","Car, truck or van carpooled %",Public transportation (excluding taxicab) %,Walked %,"Taxicab, motorcycle, bicycle or other means %",Worked at home %,GDP in billion current U.S. dollars,Median household income in 2015,Population density(Pop. Per km²),land area (km²),"Population estimate July 1, 2016",Number of workers,Mean travel time to work (minutes),avgPrice,salesVolume
Minnesota,MN,78.38565834038187,8.577760664199138,3.5800068213955307,2.925772977322826,1.6481313630604848,4.882669833640152,-0.05559181824727028,0.7513869104098972,-0.2247363506629745,0.12249820524745968,-0.11375168312619541,-0.009583896982055796,-0.2926518770365632,0.008235534188755089,-0.28136790084945146
Mississippi,MS,84.04647945399174,10.330282173703582,0.4461167354313548,1.5300390066388334,1.717917738072156,1.9291648921623494,-0.5561986344705875,-1.6779919478417207,-0.22838578910073884,-0.2636841547629322,-0.46665977913503653,-0.525952996505355,0.07524560337525457,1.3518318292346099,-0.5401815472224735
Missouri,MO,81.66109064165147,9.209093727692895,1.6167828739121344,1.9940298076992407,1.402634671819683,4.1163682772245815,-0.15222106209722644,-0.6545650385673439,-0.21221544133841497,-0.006039274751748928,-0.033856297016194005,-0.00953396379880095,-0.19392463216197242,-0.036258717824695204,-0.0258086474320664
Montana,MT,75.13923166423656,10.100633932760626,0.6835869695573412,5.276390896447831,2.8084083932445028,5.991748143753143,-0.689212834888153,-0.731918923156356,-0.2650350659826369,0.9009177554838702,-0.7380033311928073,-0.7548006662597088,-1.7434457850325482,1.697734412275819,-0.7432771251901938
Nebraska,NE,81.48424436220994,9.314140470133648,0.7892486997774639,2.742411352273346,1.2916312187517025,4.378323896853901,-0.535162274524027,-0.14969565190819575,-0.25358498912374494,0.08940636962621053,-0.6174597968830063,-0.599435512010955,-1.613789363975814,0.4355964390691127,-0.5849562722824463
Nevada,NV,78.38233536272786,10.54285033529534,3.3660298769447246,2.2267718026205903,1.9218411681225949,3.5601714542888843,-0.4629360446478642,-0.4218667273139787,-0.252316462202193,0.47858422922370086,-0.47344515950666605,-0.5047372299681403,-0.029350010412309453,-0.251285896828218,-0.4723757335533772
New Hampshire,NH,81.20976715494571,8.135704777618068,1.0032201033620713,3.1032233500290727,1.1291022375438668,5.418982376501215,-0.6214197146627565,1.4745237052989462,-0.17301868389162922,-0.7120698646466641,-0.6972538233412823,-0.6891965694990844,0.6975856847175108,-0.018435271641950062,-0.5456889814550899
New Jersey,NJ,72.0161073915713,7.99429035836714,11.117911732415873,2.8815352570610853,1.9970784530874741,3.9930768074971326,0.44750339443095816,1.6781479913432726,0.518827454581139,-0.7309456154694765,0.36370065586680983,0.44197420036660173,1.9374104648395503,0.15571829340431662,0.5030123265789709
New Mexico,NM,79.1851224407961,10.51508221462356,1.095732743827114,2.258258730211924,2.5759310897121073,4.3698727808291835,-0.5867494514506321,-1.169833164169871,-0.25855632369053794,0.6145853817100939,-0.5932144845371939,-0.6283238039725814,-0.69522515891594,0.8755736720034856,-0.5893908297165011
New York,NY,52.81368319493507,6.898265056497498,27.943913935295896,6.369962233057593,1.9813710564693523,3.9928045237445953,2.445330262516827,0.47146983558710764,0.0019513679908094985,-0.2612859313492126,1.8695704681768175,2.0172276809579555,2.27843888023973,0.5777698733207672,0.49281999699263523
